//  PatLen	   TextLen	  Naive-RT	    KMP-RT
        10	     10000	      1991	       871
       100	     10000	      2232	       317
      1000	     10000	       148	       467
        10	     20000	       326	       186
       100	     20000	       264	       328
      1000	     20000	       265	       306
     10000	     20000	       216	      1015
        10	     30000	       567	       259
       100	     30000	       355	       354
      1000	     30000	       318	       349
     10000	     30000	       328	       739
        10	     40000	       433	       354
       100	     40000	       607	       457
      1000	     40000	       420	       341
     10000	     40000	       430	       450
        10	     50000	       523	       673
       100	     50000	       682	       423
      1000	     50000	       497	       469
     10000	     50000	       500	       509
        10	     60000	       869	       503
       100	     60000	       585	       582
      1000	     60000	       804	       590
     10000	     60000	       605	       571
        10	     70000	       741	       552
       100	     70000	       693	       558
      1000	     70000	       694	       799
     10000	     70000	       917	       685
        10	     80000	      1307	       715
       100	     80000	       814	       640
      1000	     80000	       904	       636
     10000	     80000	       819	      1066
        10	     90000	       952	       732
       100	     90000	       963	       858
      1000	     90000	       883	       710
     10000	     90000	      1133	      1438
        10	    100000	       977	       890
       100	    100000	      1020	       831
      1000	    100000	      1069	       865
     10000	    100000	      1002	       912
        10	    110000	      1393	       860
       100	    110000	      1191	      1093
      1000	    110000	      1208	       866
     10000	    110000	      1137	      1160
        10	    120000	      1585	       973
       100	    120000	      1232	      1043
      1000	    120000	      1449	       944
     10000	    120000	      1273	      1002
        10	    130000	      1568	      1142
       100	    130000	      1438	      1100
      1000	    130000	      1364	      1263
     10000	    130000	      1461	      2587
        10	    140000	      3102	      1771
       100	    140000	      2072	      1513
      1000	    140000	      1729	      1421
     10000	    140000	      2130	      1598
        10	    150000	      1947	      1195
       100	    150000	      2244	      1294
      1000	    150000	      1594	      1212
     10000	    150000	      1611	      1212
        10	    160000	      2536	      1861
       100	    160000	      2063	      1255
      1000	    160000	      1595	      1267
     10000	    160000	      2077	      1443
        10	    170000	      5834	      1478
       100	    170000	      1720	      1486
      1000	    170000	      1873	      1445
     10000	    170000	      1926	      1582
        10	    180000	      2412	      1966
       100	    180000	      1890	      1743
      1000	    180000	      1809	      1517
     10000	    180000	      1944	      1455
        10	    190000	      2249	      1487
       100	    190000	      2169	      1758
      1000	    190000	      1982	      1500
     10000	    190000	      2035	      1792
        10	    200000	      2209	      1664
       100	    200000	      2168	      1690
      1000	    200000	      2043	      1689
     10000	    200000	      2984	      1678
    100000	    200000	      2430	      1881
        10	    210000	      2101	      1726
       100	    210000	      2169	      1845
      1000	    210000	      2710	      1665
     10000	    210000	      2650	      1600
    100000	    210000	      2493	      4364
        10	    220000	      2402	      2068
       100	    220000	      2606	      2062
      1000	    220000	      2492	      1818
     10000	    220000	      2420	      1772
    100000	    220000	      2952	      2440
        10	    230000	      2893	      1869
       100	    230000	      2564	      1860
      1000	    230000	      2473	      1879
     10000	    230000	      3520	      1679
    100000	    230000	      3159	     14846
        10	    240000	      3355	      2122
       100	    240000	      2570	      1970
      1000	    240000	      2580	      2022
     10000	    240000	      6643	      2203
    100000	    240000	      3146	      2036
        10	    250000	      3155	      2317
       100	    250000	      2534	      2030
      1000	    250000	      2918	      2157
     10000	    250000	      2562	      2039
    100000	    250000	      2828	      2327
        10	    260000	      2926	      2021
       100	    260000	      2959	      2278
      1000	    260000	      2724	      2220
     10000	    260000	      2702	      2169
    100000	    260000	      3171	      2383
        10	    270000	      3008	      2235
       100	    270000	      2796	      2222
      1000	    270000	      2874	      2401
     10000	    270000	      2948	      4898
    100000	    270000	      3478	      2589
        10	    280000	      3003	      2277
       100	    280000	      2948	      2412
      1000	    280000	      3753	      3107
     10000	    280000	      3041	      2306
    100000	    280000	      4235	      2707
        10	    290000	      2916	      2380
       100	    290000	      2897	      2802
      1000	    290000	      3396	      2705
     10000	    290000	      2974	      2890
    100000	    290000	      3830	      2444
        10	    300000	      3026	      2387
       100	    300000	      2954	      2417
      1000	    300000	      3301	      2346
     10000	    300000	      3293	      2415
    100000	    300000	      3724	      4277
        10	    310000	      3444	      2526
       100	    310000	      3114	      2562
      1000	    310000	      3023	      2423
     10000	    310000	      3253	      2532
    100000	    310000	      3798	      2307
        10	    320000	      4066	      3010
       100	    320000	      3364	      2717
      1000	    320000	      3556	      2512
     10000	    320000	      3567	      2343
    100000	    320000	      3957	      2281
        10	    330000	      3643	      2575
       100	    330000	      3287	      2570
      1000	    330000	      3523	      2564
     10000	    330000	      3526	      2379
    100000	    330000	      4350	      2324
        10	    340000	      3317	      3082
       100	    340000	      3416	      2709
      1000	    340000	      3391	      2722
     10000	    340000	      3669	      2480
    100000	    340000	      4439	      4161
        10	    350000	      3838	      3086
       100	    350000	      3500	      2878
      1000	    350000	      3608	      2737
     10000	    350000	      4026	      2538
    100000	    350000	      3981	      2609
        10	    360000	      3934	      2818
       100	    360000	      4175	      2980
      1000	    360000	      3766	      3298
     10000	    360000	      4362	      2738
    100000	    360000	      4520	      2930
        10	    370000	      4201	      2889
       100	    370000	      4063	      3071
      1000	    370000	      3668	      3354
     10000	    370000	      3888	      2656
    100000	    370000	      4507	      4312
        10	    380000	      4412	      3105
       100	    380000	      3958	      3140
      1000	    380000	      4312	      3322
     10000	    380000	      3898	      2730
    100000	    380000	      4437	      2530
        10	    390000	      3825	      3088
       100	    390000	      3888	      3226
      1000	    390000	      4025	      3063
     10000	    390000	      3991	      2815
    100000	    390000	      4922	      3703
        10	    400000	      4169	      3189
       100	    400000	      4696	      3297
      1000	    400000	      4236	      3099
     10000	    400000	      4321	      3040
    100000	    400000	      5445	      2949
        10	    410000	      4260	      3182
       100	    410000	      4506	      3835
      1000	    410000	      4153	      3199
     10000	    410000	      4425	      4390
    100000	    410000	      4765	      2725
        10	    420000	      4412	      3285
       100	    420000	      4373	      3321
      1000	    420000	      4298	      3630
     10000	    420000	      4281	      3186
    100000	    420000	      5300	      4158
        10	    430000	      4700	      3636
       100	    430000	      4561	      3427
      1000	    430000	      4489	      3479
     10000	    430000	      4444	      3094
    100000	    430000	      5363	      2744
        10	    440000	      4609	      3378
       100	    440000	      4588	      3682
      1000	    440000	      4889	      3513
